## init: i2c MPU
### init: pwm
### init: IBUS
curAngle:-14.800051 P:-27.380095         I:-3.296232     D:0.000000
curAngle:-14.929955 P:-27.620419         I:-3.367340     D:-0.000000
curAngle:-13.710489 P:-25.364405         I:-3.432641     D:0.000000
curAngle:-14.499725 P:-26.824492         I:-3.501700     D:-0.000000
curAngle:-14.871577 P:-27.512419         I:-3.572530     D:-0.000000
Accel: X=0.39g Y=0.24g Z=1.12g
Gyro: X=1.79 Y=-1.45 Z=0.70
CH1:0  CH2:0  CH3:0  CH4:0  CH5:0  CH6:0
curAngle:-14.662688 P:-27.125973         I:-3.647908     D:0.000000
curAngle:-16.417288 P:-30.371983         I:-3.726100     D:-0.000000
curAngle:-15.555087 P:-28.776911         I:-3.800186     D:0.000000
curAngle:-13.948775 P:-25.805235         I:-3.866621     D:0.000000
curAngle:-13.938950 P:-25.787058         I:-3.933010     D:0.000000
curAngle:-12.368759 P:-22.882204         I:-3.991920     D:0.000000
curAngle:-13.390863 P:-24.773098         I:-4.055697     D:-0.000000
curAngle:-12.612545 P:-23.333208         I:-4.115769     D:0.000000
curAngle:-13.777549 P:-25.488466         I:-4.181389     D:-0.000000
curAngle:-14.781128 P:-27.345087         I:-4.251789     D:-0.000000
curAngle:-14.588713 P:-26.989119         I:-4.321272     D:0.000000
curAngle:-14.512645 P:-26.848392         I:-4.390392     D:0.000000
curAngle:-14.915843 P:-27.594311         I:-4.461433     D:-0.000000
curAngle:-14.274032 P:-26.406960         I:-4.529418     D:0.000000
curAngle:-14.734445 P:-27.258722         I:-4.599595     D:-0.000000
curAngle:-13.620159 P:-25.197294         I:-4.664465     D:0.000000
curAngle:-12.660369 P:-23.421682         I:-4.724764     D:0.000000
curAngle:-12.585251 P:-23.282715         I:-4.784705     D:0.000000
curAngle:-12.801517 P:-23.682806         I:-4.845675     D:-0.000000
curAngle:-13.021637 P:-24.090029         I:-4.907695     D:-0.000000
Accel: X=0.29g Y=0.20g Z=1.04g
Gyro: X=0.93 Y=17.49 Z=-3.90
CH1:0  CH2:0  CH3:0  CH4:0  CH5:0  CH6:0
curAngle:-11.519137 P:-21.310404         I:-4.966912     D:0.000000
curAngle:-10.024778 P:-18.545839         I:-5.014658     D:0.000000
curAngle:-10.109919 P:-18.703350         I:-5.062810     D:-0.000000
curAngle:-7.988687 P:-14.779071  I:-5.100859     D:0.000000
curAngle:-7.195232 P:-13.311179  I:-5.135128     D:0.000000
curAngle:-5.239350 P:-9.692798   I:-5.160082     D:0.000000
curAngle:-1.996971 P:-3.694397   I:-5.169594     D:0.000000
curAngle:0.052599 P:0.097309     I:-5.169343     D:0.000000
curAngle:1.617794 P:2.992919     I:-5.161699     D:0.000000
curAngle:3.317408 P:6.137206     I:-5.146025     D:0.000000
curAngle:2.965497 P:5.486169     I:-5.132012     D:-0.000000
curAngle:4.005217 P:7.409652     I:-5.112936     D:0.000000
curAngle:4.683493 P:8.664461     I:-5.090806     D:0.000000
curAngle:5.286507 P:9.780038     I:-5.065828     D:0.000000
curAngle:6.692494 P:12.381115    I:-5.034206     D:0.000000
curAngle:7.565008 P:13.995264    I:-4.998176     D:0.000000
curAngle:8.422457 P:15.581545    I:-4.958061     D:0.000000
curAngle:8.610181 P:15.928835    I:-4.917052     D:0.000000
curAngle:8.208204 P:15.185178    I:-4.877958     D:-0.000000
curAngle:9.221988 P:17.060677    I:-4.834036     D:0.000000
Accel: X=-0.38g Y=0.38g Z=1.00g
Gyro: X=-5.45 Y=-1.38 Z=-0.33
CH1:0  CH2:0  CH3:0  CH4:0  CH5:0  CH6:0
curAngle:9.033449 P:16.711882    I:-4.787596     D:-0.000000
curAngle:9.804334 P:18.138018    I:-4.740900     D:0.000000
curAngle:10.881644 P:20.131042   I:-4.689073     D:0.000000
curAngle:11.623380 P:21.503252   I:-4.633713     D:0.000000
curAngle:10.276007 P:19.010612   I:-4.584771     D:-0.000000
curAngle:10.679027 P:19.756199   I:-4.533909     D:0.000000
curAngle:9.625092 P:17.806419    I:-4.488067     D:-0.000000
curAngle:10.853218 P:20.078453   I:-4.436375     D:0.000000
curAngle:11.646283 P:21.545624   I:-4.380906     D:0.000000
curAngle:12.534082 P:23.188053   I:-4.321208     D:0.000000
curAngle:13.665604 P:25.281366   I:-4.256122     D:0.000000
curAngle:13.061651 P:24.164055   I:-4.193912     D:-0.000000
curAngle:13.760736 P:25.457361   I:-4.128373     D:0.000000
curAngle:13.003092 P:24.055719   I:-4.066442     D:-0.000000
curAngle:13.156466 P:24.339464   I:-4.003780     D:0.000000
curAngle:13.986991 P:25.875933   I:-3.937162     D:0.000000
curAngle:14.731112 P:27.252556   I:-3.867001     D:0.000000
curAngle:15.676257 P:29.001076   I:-3.792338     D:0.000000
curAngle:15.408981 P:28.506617   I:-3.718948     D:-0.000000
curAngle:15.832947 P:29.290953   I:-3.643539     D:0.000000
Accel: X=-0.40g Y=0.15g Z=1.05g
Gyro: X=4.33 Y=0.98 Z=-0.57
CH1:0  CH2:0  CH3:0  CH4:0  CH5:0  CH6:0
curAngle:15.824992 P:29.276236   I:-3.562186     D:-0.000000
curAngle:15.882964 P:29.383484   I:-3.486539     D:0.000000
curAngle:16.850996 P:31.174343   I:-3.406281     D:0.000000
curAngle:16.969784 P:31.394100   I:-3.325457     D:0.000000
curAngle:16.297058 P:30.149557   I:-3.247838     D:-0.000000
curAngle:15.119414 P:27.970917   I:-3.175827     D:-0.000000
curAngle:15.890035 P:29.396564   I:-3.100146     D:0.000000
curAngle:16.290855 P:30.138083   I:-3.022556     D:0.000000
curAngle:16.267427 P:30.094742   I:-2.945077     D:-0.000000
curAngle:16.063797 P:29.718025   I:-2.868569     D:-0.000000
curAngle:15.666706 P:28.983406   I:-2.793951     D:-0.000000
curAngle:15.609701 P:28.877947   I:-2.719605     D:-0.000000
curAngle:15.088356 P:27.913460   I:-2.647743     D:-0.000000
curAngle:15.226501 P:28.169027   I:-2.575222     D:0.000000
curAngle:15.589446 P:28.840475   I:-2.500973     D:0.000000
curAngle:15.748339 P:29.134426   I:-2.425966     D:0.000000
curAngle:14.837587 P:27.449537   I:-2.355298     D:-0.000000
curAngle:14.915202 P:27.593124   I:-2.284260     D:0.000000
curAngle:15.511245 P:28.695803   I:-2.210383     D:0.000000
curAngle:16.022816 P:29.642210   I:-2.134069     D:0.000000
Accel: X=-0.42g Y=0.40g Z=1.06g
Gyro: X=-1.81 Y=0.75 Z=-0.13
CH1:0  CH2:0  CH3:0  CH4:0  CH5:0  CH6:0
curAngle:15.237208 P:28.188835   I:-2.055738     D:-0.000000
curAngle:15.395926 P:28.482462   I:-1.982410     D:0.000000
curAngle:15.985050 P:29.572344   I:-1.906276     D:0.000000
curAngle:16.524931 P:30.571123   I:-1.827572     D:0.000000
curAngle:16.361095 P:30.268026   I:-1.749647     D:-0.000000
curAngle:16.980040 P:31.413074   I:-1.668774     D:0.000000
curAngle:16.136835 P:29.853146   I:-1.591918     D:-0.000000
curAngle:15.895309 P:29.406322   I:-1.516212     D:-0.000000
curAngle:16.427938 P:30.391687   I:-1.437969     D:0.000000
curAngle:17.086561 P:31.610138   I:-1.356589     D:0.000000
curAngle:17.596016 P:32.552631   I:-1.272783     D:0.000000
curAngle:17.811289 P:32.950886   I:-1.187951     D:0.000000
curAngle:17.455877 P:32.293373   I:-1.104812     D:-0.000000
curAngle:17.483398 P:32.344288   I:-1.021542     D:0.000000
curAngle:17.525019 P:32.421284   I:-0.938074     D:0.000000
curAngle:17.877741 P:33.073822   I:-0.852926     D:0.000000
curAngle:17.236925 P:31.888311   I:-0.770830     D:-0.000000
curAngle:17.132990 P:31.696032   I:-0.689229     D:-0.000000
curAngle:17.515667 P:32.403984   I:-0.605805     D:0.000000
curAngle:18.252954 P:33.767967   I:-0.518870     D:0.000000
Accel: X=-0.55g Y=0.07g Z=1.10g
Gyro: X=3.63 Y=-2.54 Z=-0.85
CH1:0  CH2:0  CH3:0  CH4:0  CH5:0  CH6:0
curAngle:19.351881 P:35.800980   I:-0.419386     D:0.000000
curAngle:18.857037 P:34.885517   I:-0.329574     D:-0.000000
curAngle:18.306791 P:33.867565   I:-0.242382     D:-0.000000
curAngle:18.665693 P:34.531532   I:-0.153481     D:0.000000
curAngle:17.940069 P:33.189129   I:-0.068036     D:-0.000000
curAngle:18.043650 P:33.380753   I:0.017902      D:0.000000
curAngle:17.335068 P:32.069878   I:0.100465      D:-0.000000
curAngle:17.737629 P:32.814613   I:0.184946      D:0.000000
curAngle:17.263664 P:31.937778   I:0.267170      D:-0.000000
curAngle:16.813581 P:31.105125   I:0.347249      D:-0.000000
curAngle:16.936171 P:31.331917   I:0.427913      D:0.000000
curAngle:16.614138 P:30.736155   I:0.507043      D:-0.000000
curAngle:17.430571 P:32.246555   I:0.590061      D:0.000000
curAngle:17.007727 P:31.464294   I:0.671065      D:-0.000000
curAngle:16.240551 P:30.045019   I:0.748416      D:-0.000000
curAngle:16.934952 P:31.329660   I:0.829074      D:0.000000
curAngle:17.495453 P:32.366589   I:0.912401      D:0.000000
curAngle:17.228586 P:31.872885   I:0.994457      D:-0.000000
curAngle:16.767685 P:31.020218   I:1.074319      D:-0.000000
curAngle:17.420416 P:32.227768   I:1.157288      D:0.000000
Accel: X=-0.52g Y=0.13g Z=1.11g
Gyro: X=-3.28 Y=-10.06 Z=0.35
CH1:0  CH2:0  CH3:0  CH4:0  CH5:0  CH6:0
curAngle:17.284340 P:31.976028   I:1.246144      D:-0.000000
curAngle:15.423735 P:28.533909   I:1.319604      D:-0.000000
curAngle:14.113112 P:26.109259   I:1.386822      D:-0.000000
curAngle:12.371280 P:22.886868   I:1.445744      D:-0.000000
curAngle:12.239983 P:22.643969   I:1.504040      D:-0.000000
curAngle:10.923268 P:20.208046   I:1.556066      D:-0.000000
curAngle:11.360157 P:21.016291   I:1.610172      D:0.000000
curAngle:10.065128 P:18.620487   I:1.658110      D:-0.000000
curAngle:8.715676 P:16.124001    I:1.699621      D:-0.000000
curAngle:6.771966 P:12.528136    I:1.731875      D:-0.000000
curAngle:4.026499 P:7.449023     I:1.751052      D:-0.000000
curAngle:1.969828 P:3.644181     I:1.760360      D:-0.000000
curAngle:1.355136 P:2.507001     I:1.766762      D:-0.000000
curAngle:0.409355 P:0.757308     I:1.768697      D:-0.000000
curAngle:-0.372291 P:-0.688738   I:1.766938      D:-0.000000
curAngle:-0.906331 P:-1.676712   I:1.762621      D:-0.000000
curAngle:-1.108188 P:-2.050148   I:1.757343      D:-0.000000
