### init: pwm
### init: IBUS
Gyro: X=-1.29 Y=0.54 Z=-0.81
CH1:1500  CH2:1512  CH3:985  CH4:1302  CH5:1640  CH6:1244
curAngle:-13.489882 P:-10.522107         I:-15.262474    D:-1.762221
curAngle:-13.559841 P:-10.576675         I:-15.400867    D:-0.148063
curAngle:-13.644692 P:-10.642859         I:-15.540125    D:-0.179579
curAngle:-13.695375 P:-10.682392         I:-15.662150    D:-0.122868
curAngle:-13.758073 P:-10.731297         I:-15.802566    D:-0.132693
curAngle:-13.764600 P:-10.736387         I:-15.925208    D:-0.015823
curAngle:-13.795052 P:-10.760139         I:-16.066002    D:-0.064448
curAngle:-13.825912 P:-10.784210         I:-16.207108    D:-0.065312
curAngle:-13.869993 P:-10.818594         I:-16.330688    D:-0.106865
curAngle:-13.896446 P:-10.839228         I:-16.472515    D:-0.055985
curAngle:-13.862039 P:-10.812389         I:-16.613991    D:0.072820
curAngle:-13.894037 P:-10.837349         I:-16.737787    D:-0.077572
curAngle:-13.915000 P:-10.853700         I:-16.879803    D:-0.044366
